"endpoint","path","backend","request_id_mode","request_id_sent","response_request_id","response_content_type","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"declaration-of-intent-big","/v1/declaration-of-intent","default","auto","","8fc6c8289c3184eed64a99b3b1c5eacf","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent","200","2,404238","25924","25924","4b67f20f6882db182280819762697a96323596ce62c3331e1cd1020d12ca5499","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__default__auto__run1__20260204_151117_022.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__default__auto__run1__20260204_151117_022.headers.txt",""
"declaration-of-intent-big","/v1/declaration-of-intent","chrome","auto","","ab05b577d515780e6fd3149e4aea35c9","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent?backend=chrome","200","7,400372","62530","62530","f344120ca3b25324e2cd3095b1b8a2e655559cd8d9c7cfc5012046a00180e306","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__chrome__auto__run1__20260204_151119_706.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__chrome__auto__run1__20260204_151119_706.headers.txt",""
"declaration-of-intent-big","/v1/declaration-of-intent","weasyprint","auto","","68b3dc58607580afe4aebbc63b456322","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent?backend=weasyprint","200","2,401464","25922","25922","6705b5cd39e792860c9a4cc0bcdc685c1729ad36d43f9ed8b2340135a07d7009","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__weasyprint__auto__run1__20260204_151127_363.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-big__weasyprint__auto__run1__20260204_151127_363.headers.txt",""
"declaration-of-intent-australia-big","/v1/declaration-of-intent-australia","default","auto","","fdcfdc1cd8d048cbff3b97ef0756e53c","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia","200","2,616749","29956","29956","7e37a537b4a0a04eccebb79a770090c7eee3e082131909414b07f5fbd4521a0e","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__default__auto__run1__20260204_151130_029.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__default__auto__run1__20260204_151130_029.headers.txt",""
"declaration-of-intent-australia-big","/v1/declaration-of-intent-australia","chrome","auto","","54cd2e999a6790638e39d5234d7a213a","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia?backend=chrome","200","7,545225","102748","102748","cddb36a9d5a935685a2bc53dfb2f8e206956d6ec1393c5cb5d0de740e86bfe80","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__chrome__auto__run1__20260204_151132_911.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__chrome__auto__run1__20260204_151132_911.headers.txt",""
"declaration-of-intent-australia-big","/v1/declaration-of-intent-australia","weasyprint","auto","","6f253771ed5577fdc22fe653d5256471","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia?backend=weasyprint","200","2,441493","29960","29960","b1af5dfc8032e28d22afa13a22385b305b33666a872077cb21758b48b58d3dc9","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__weasyprint__auto__run1__20260204_151140_732.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia-big__weasyprint__auto__run1__20260204_151140_732.headers.txt",""
"account-statement-v1-big","/v1/account-statement","default","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-statement","413","1,227589","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__default__auto__run1__20260204_151143_411.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__default__auto__run1__20260204_151143_411.headers.txt",""
"account-statement-v1-big","/v1/account-statement","chrome","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-statement?backend=chrome","413","1,265011","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__chrome__auto__run1__20260204_151145_446.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__chrome__auto__run1__20260204_151145_446.headers.txt",""
"account-statement-v1-big","/v1/account-statement","weasyprint","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-statement?backend=weasyprint","413","0,98549","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__weasyprint__auto__run1__20260204_151147_518.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1-big__weasyprint__auto__run1__20260204_151147_518.headers.txt",""
"account-statement-v2-big","/v2/account-statement","default","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v2/account-statement","413","1,086195","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__default__auto__run1__20260204_151149_225.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__default__auto__run1__20260204_151149_225.headers.txt",""
"account-statement-v2-big","/v2/account-statement","chrome","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v2/account-statement?backend=chrome","413","1,078391","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__chrome__auto__run1__20260204_151150_935.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__chrome__auto__run1__20260204_151150_935.headers.txt",""
"account-statement-v2-big","/v2/account-statement","weasyprint","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v2/account-statement?backend=weasyprint","413","1,106661","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__weasyprint__auto__run1__20260204_151153_082.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v2-big__weasyprint__auto__run1__20260204_151153_082.headers.txt",""
"account-invoice-big","/v1/account-invoice","default","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-invoice","413","1,157452","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__default__auto__run1__20260204_151155_170.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__default__auto__run1__20260204_151155_170.headers.txt",""
"account-invoice-big","/v1/account-invoice","chrome","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-invoice?backend=chrome","413","1,03424","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__chrome__auto__run1__20260204_151157_211.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__chrome__auto__run1__20260204_151157_211.headers.txt",""
"account-invoice-big","/v1/account-invoice","weasyprint","auto","","","text/html","1","https://pdf-generator.dev.lunupay.com/v1/account-invoice?backend=weasyprint","413","1,49205","176","176","fdf9229ad3bea8e754a94171f5a8059ccb142b9381400648b08abfad0cfeed28","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__weasyprint__auto__run1__20260204_151159_485.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-invoice-big__weasyprint__auto__run1__20260204_151159_485.headers.txt",""
