"endpoint","path","backend","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_528.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_528.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","default","2","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141604_730.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141604_730.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_931.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_931.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141605_148.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141605_148.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141605_349.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141605_349.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141605_550.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run2__20260204_141605_550.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"account-statement-v1","/v1/account-statement","default","1","https://pdf-generator.dev.lunupay.com/v1/account-statement",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141605_763.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141605_763.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v1","/v1/account-statement","default","2","https://pdf-generator.dev.lunupay.com/v1/account-statement",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_002.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_002.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v1","/v1/account-statement","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141606_202.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141606_202.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v1","/v1/account-statement","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_406.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_406.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v1","/v1/account-statement","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141606_609.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run1__20260204_141606_609.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v1","/v1/account-statement","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_840.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v1____run2__20260204_141606_840.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v2","/v2/account-statement","default","1","https://pdf-generator.dev.lunupay.com/v2/account-statement",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_061.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_061.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v2","/v2/account-statement","default","2","https://pdf-generator.dev.lunupay.com/v2/account-statement",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141607_270.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141607_270.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v2","/v2/account-statement","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_468.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_468.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
