"endpoint","path","backend","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default","200","2,148547","24149","24149","2ea7ce92a0ba7283ec58975eec44dd386d97b5ea8195f45844233394f41ec1d7","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141722_477.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141722_477.headers.txt",""
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","2","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default","200","2,016497","24150","24150","4a58ae9fb4cbf10f854d8e82b09f1486ff54c2b27264775815a73006e4f125bd","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141725_111.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141725_111.headers.txt",""
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","3","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default","200","1,691703","24150","24150","9f31f03ae6bd9015dcdc75ab643f3ef8e7415e2f1e2af8d581b0fa0397ead6b4","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141727_362.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141727_362.headers.txt",""
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141729_296.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141729_296.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141729_528.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141729_528.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","3","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141729_759.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141729_759.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141729_972.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run1__20260204_141729_972.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141730_171.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run2__20260204_141730_171.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","3","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141730_370.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent-default____run3__20260204_141730_370.headers.txt","curl: (3) URL rejected: Bad hostname"
"declaration-of-intent","/v1/declaration-of-intent","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent","200","1,748633","24161","24161","6e58fa00350c3bdf7ac0bf83030658dabecde911e42bf82c71ebaebb24fc9bce","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent____run1__20260204_141730_602.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141722\declaration-of-intent____run1__20260204_141730_602.headers.txt",""
